configuration,complete,dimension,value,nominal_conditions,seed,mean_coverage,macro_F1,MAE,macro_F1_mean,MAE_mean
M1,True,rate,0.7,24,43,0.9720695970695972,0.5749827581162039,0.6282426098740369,0.5827823212659077,0.6325302791389772
M1,True,position,back,24,17,0.9787660256410257,0.5907171135961834,0.6194386124167907,0.5879972921004537,0.6141121646337674
M1,True,position,back,24,29,0.9787660256410257,0.5861114793704562,0.6172470466195797,0.5879972921004537,0.6141121646337674
M1,True,position,back,24,43,0.9787660256410257,0.5871632833347217,0.6056508348649318,0.5879972921004537,0.6141121646337674
M1,True,position,front,24,17,0.9787660256410257,0.5936166510280667,0.6203199677712782,0.5900339817218553,0.6180410153124246
M1,True,position,front,24,29,0.9787660256410257,0.5935012033633353,0.6178027589721018,0.5900339817218553,0.6180410153124246
M1,True,position,front,24,43,0.9787660256410257,0.5829840907741636,0.616000319193894,0.5900339817218553,0.6180410153124246
M1,True,position,middle,24,17,0.9787660256410257,0.5965892915552783,0.6123979862095239,0.5938498902346356,0.6104296938228688
M1,True,position,middle,24,29,0.9787660256410257,0.5982125622720943,0.613665799030399,0.5938498902346356,0.6104296938228688
M1,True,position,middle,24,43,0.9787660256410257,0.5867478168765343,0.6052252962286836,0.5938498902346356,0.6104296938228688
M1,True,position,random,24,17,0.9787660256410257,0.5921157754894721,0.6159800959175232,0.5903357988989345,0.6138036235999894
M1,True,position,random,24,29,0.9787660256410257,0.5934388137862445,0.6168242804122132,0.5903357988989345,0.6138036235999894
M1,True,position,random,24,43,0.9787660256410257,0.5854528074210869,0.6086064944702319,0.5903357988989345,0.6138036235999894
M2,True,modality,A,16,17,0.992445054945055,0.620283898048124,0.6005120086899826,0.6219965534950724,0.6038672513010132
M2,True,modality,A,16,29,0.992445054945055,0.6196212446177873,0.6020053995111178,0.6219965534950724,0.6038672513010132
M2,True,modality,A,16,43,0.992445054945055,0.626084517819306,0.6090843457019391,0.6219965534950724,0.6038672513010132
M2,True,modality,AV,16,17,0.9625686813186813,0.6213711591938464,0.6006946274835735,0.6207094754843735,0.6037759357747009
M2,True,modality,AV,16,29,0.9625686813186813,0.6170117105056021,0.6014779829426046,0.6207094754843735,0.6037759357747009
M2,True,modality,AV,16,43,0.9625686813186813,0.623745556753672,0.6091551968979246,0.6207094754843735,0.6037759357747009
M2,True,modality,T,16,17,1.0,0.5929547546602818,0.6260688520799808,0.5920906689235604,0.6350565442519719
M2,True,modality,T,16,29,1.0,0.5896890560730397,0.6307065916861685,0.5920906689235604,0.6350565442519719
M2,True,modality,T,16,43,1.0,0.59362819603736,0.6483941889897663,0.5920906689235604,0.6350565442519719
M2,True,modality,TA,16,17,0.992445054945055,0.5946729856515086,0.6250293792250826,0.5913140154847679,0.6345503251393035
M2,True,modality,TA,16,29,0.992445054945055,0.5862692983340096,0.6332959330136694,0.5913140154847679,0.6345503251393035
M2,True,modality,TA,16,43,0.992445054945055,0.5929997624687855,0.6453256631791588,0.5913140154847679,0.6345503251393035
M2,True,modality,TV,16,17,0.9625686813186813,0.594654358195,0.6224294477437163,0.5935493095289227,0.6315041798841451
M2,True,modality,TV,16,29,0.9625686813186813,0.5924197312252294,0.6286043080652588,0.5935493095289227,0.6315041798841451
M2,True,modality,TV,16,43,0.9625686813186813,0.5935738391665387,0.6434787838434604,0.5935493095289227,0.6315041798841451
M2,True,modality,V,16,17,0.9625686813186813,0.62119211005079,0.5998256575110799,0.6216928438533064,0.6024489946513015
M2,True,modality,V,16,29,0.9625686813186813,0.6175883027788768,0.5986633669661641,0.6216928438533064,0.6024489946513015
M2,True,modality,V,16,43,0.9625686813186813,0.6262981187302522,0.6088579594766604,0.6216928438533064,0.6024489946513015
M2,True,rate,0.1,24,17,0.9809981684981685,0.6202480739648762,0.6017817398533647,0.6201382724996508,0.6046808689815987
M2,True,rate,0.1,24,29,0.9809981684981685,0.616817525112337,0.6016409256808868,0.6201382724996508,0.6046808689815987
M2,True,rate,0.1,24,43,0.9809981684981685,0.6233492184217394,0.6106199414105445,0.6201382724996508,0.6046808689815987
M2,True,rate,0.3,24,17,0.9809981684981685,0.6137691187385059,0.6070845600821081,0.6137059953941904,0.6115280393544108
M2,True,rate,0.3,24,29,0.9809981684981685,0.6105836033376751,0.6085060425545131,0.6137059953941904,0.6115280393544108
M2,True,rate,0.3,24,43,0.9809981684981685,0.61676526410639,0.6189935154266112,0.6137059953941904,0.6115280393544108
M2,True,rate,0.5,24,17,0.9809981684981685,0.6011782987223899,0.612288755065489,0.6013863009227499,0.6194289814718382
M2,True,rate,0.5,24,29,0.9809981684981685,0.5983400908960345,0.6171749544524624,0.6013863009227499,0.6194289814718382
M2,True,rate,0.5,24,43,0.9809981684981685,0.6046405131498251,0.6288232348975632,0.6013863009227499,0.6194289814718382
M2,True,rate,0.7,24,17,0.9720695970695972,0.5948906857739283,0.6285515934879821,0.5923380090300778,0.6384975975271097
M2,True,rate,0.7,24,29,0.9720695970695972,0.5893250096769834,0.6358471321021263,0.5923380090300778,0.6384975975271097
