configuration,status,dimension,value,nominal_conditions,seed,mean_coverage,macro_F1,MAE
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,T,16,43,1.0,0.5789330453231493,0.6428752618227814
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,TA,16,17,0.992445054945055,0.5630089338499998,0.7013358197267295
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,TA,16,29,0.992445054945055,0.581493572523347,0.6550496544978059
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,TA,16,43,0.992445054945055,0.5777594840941476,0.6460283742339509
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,TV,16,17,0.9625686813186813,0.569048067268593,0.6949629753959256
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,TV,16,29,0.9625686813186813,0.5826325061683093,0.6508868667847792
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,TV,16,43,0.9625686813186813,0.5774168923739255,0.6423993285672436
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,V,16,17,0.9625686813186813,0.595781793481502,0.6785860256034609
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,V,16,29,0.9625686813186813,0.6036689083688624,0.6231540726503226
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,V,16,43,0.9625686813186813,0.5976502718435824,0.6268153159764398
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.1,24,17,0.9809981684981685,0.5914594069650482,0.6807618581019458
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.1,24,29,0.9809981684981685,0.5999355184663383,0.6267378338115177
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.1,24,43,0.9809981684981685,0.5943970187664631,0.6280371218250117
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.3,24,17,0.9809981684981685,0.5839332786756947,0.6857192088952968
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.3,24,29,0.9809981684981685,0.5963682305752247,0.632644344937693
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.3,24,43,0.9809981684981685,0.5916624680106285,0.6322381744810158
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.5,24,17,0.9809981684981685,0.5730981356703165,0.6897214857898054
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.5,24,29,0.9809981684981685,0.590152201722546,0.6397575820659983
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.5,24,43,0.9809981684981685,0.5877230799691867,0.6362686038856304
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.7,24,17,0.9720695970695972,0.5661125996017593,0.7008893651947092
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.7,24,29,0.9720695970695972,0.581532288178118,0.654619284911863
